問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
appearance,外見、現れること,appear（現れる）＋ ance,Do not judge by appearance.,10,,,,,,
character,性格、登場人物,意味が2つある,She has a strong character.,10,,,,,,
personality,人格、個性,person（人）から,He has a bright personality.,10,,,,,,
generous,気前のよい,,She is generous with her time.,10,,,,,,
gentle,やさしい、おだやかな,,He speaks in a gentle voice.,10,,,,,,
confident,自信のある,,She is confident about the test.,10,,,,,,
independent,自立した,in（否定）＋ dependent（頼る）,He is independent from his parents.,10,,,,,,
responsible,責任がある,responsibility（責任）から,You are responsible for this.,10,,,,,,
active,活動的な,,My grandmother is still active.,10,,,,,,
curious,好奇心の強い,,Children are curious about everything.,10,,,,,,
creative,創造的な,create（創る）から,She has a creative mind.,10,,,,,,
talented,才能のある,talent（才能）＋ ed,He is a talented musician.,10,,,,,,
selfish,自分勝手な,self（自分）＋ ish,Do not be selfish.,10,,,,,,
lazy,怠けた,,He was lazy last summer.,10,,,,,,
mature,成熟した,,She is mature for her age.,10,,,,,,
elderly,年配の,old よりていねいな言い方,We should help elderly people.,10,,,,,,
twin,ふたごの一人,,They are twins.,10,,,,,,
neighbor,近所の人,,My neighbor is very kind.,10,,,,,,
