問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
field survey,実地調査,2語で1つの意味,We did a field survey of the river.,10,,,,,,
water quality,水質,2語で1つの意味,We tested the water quality.,10,,,,,,
air quality,大気の質,2語で1つの意味,Air quality improved this year.,10,,,,,,
noise level,騒音の大きさ,2語で1つの意味,We measured the noise level.,10,,,,,,
green space,緑地,2語で1つの意味,The city added green space.,10,,,,,,
urban heat,都市の高温化,2語で1つの意味,Urban heat is a summer problem.,10,,,,,,
tree planting,植樹,2語で1つの意味,We joined a tree planting event.,10,,,,,,
river cleanup,川の清掃,2語で1つの意味,The river cleanup was on Sunday.,10,,,,,,
litter,ごみ、散らかす,,Do not litter in the park.,10,,,,,,
composting,堆肥づくり,compost（堆肥）＋ ing,Composting reduces garbage.,10,,,,,,
solar panel,太陽光パネル,2語で1つの意味,The school has solar panels.,10,,,,,,
rainwater tank,雨水タンク,2語で1つの意味,A rainwater tank saves water.,10,,,,,,
eco bag,エコバッグ,2語で1つの意味,Bring your own eco bag.,10,,,,,,
plastic bag,レジ袋,2語で1つの意味,Plastic bags now cost money.,10,,,,,,
carbon saving,二酸化炭素の削減,2語で1つの意味,Small habits lead to carbon saving.,10,,,,,,
endangered animal,絶滅危惧の動物,2語で1つの意味,We studied an endangered animal.,10,,,,,,
nature reserve,自然保護区,2語で1つの意味,The nature reserve is protected.,10,,,,,,
wetland,湿地,wet（湿った）＋ land（土地）,Birds gather in the wetland.,10,,,,,,
watershed area,流域,2語で1つの意味,The watershed area is large.,10,,,,,,
sustainable goal,持続可能な目標,2語で1つの意味,We studied the sustainable goals.,10,,,,,,
