問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
innovative,革新的な,innovation（革新）から,They took an innovative approach.,10,,,,,,
intact,無傷の、そのままの,,The building remained intact.,10,,,,,,
intricate,複雑で入り組んだ,,The pattern is intricate.,10,,,,,,
marginal,わずかな、周辺の,,The change was marginal.,10,,,,,,
meticulous,細心の,,She keeps meticulous records.,10,,,,,,
negligible,無視できるほど小さい,neglect（無視する）から,The difference is negligible.,10,,,,,,
notable,注目すべき,note（注目する）から,There was a notable increase.,10,,,,,,
optimal,最適な,,This is the optimal solution.,10,,,,,,
paramount,最重要の,,Safety is paramount.,10,,,,,,
pervasive,広く行きわたった,,The problem is pervasive.,10,,,,,,
plausible,もっともらしい,,That is a plausible explanation.,10,,,,,,
predominant,主要な、優勢な,,Rice is the predominant crop.,10,,,,,,
profound,深い、重大な,,The book had a profound effect.,10,,,,,,
redundant,余分な、重複した,,Remove the redundant words.,10,,,,,,
robust,頑丈な、強固な,,The system is robust.,10,,,,,,
sceptical,懐疑的な,skeptical とも書く,He is sceptical about the claim.,10,,,,,,
subtle,微妙な、かすかな,b を読まない,There is a subtle difference.,10,,,,,,
susceptible,影響を受けやすい,,Children are susceptible to colds.,10,,,,,,
viable,実行可能な、生存できる,,That is a viable option.,10,,,,,,
widespread,広範囲の,wide（広い）＋ spread（広がる）,The damage was widespread.,10,,,,,,
