問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
ambiguous,あいまいな,,The instructions are ambiguous.,10,,,,,,
annual,年1回の、年間の,,This is our annual meeting.,10,,,,,,
artificial light,人工の光,2語で1つの意味,Plants grow under artificial light.,10,,,,,,
cautious,用心深い,caution（用心）から,Be cautious when driving.,10,,,,,,
commercial,商業の、コマーシャル,意味が2つある,This is a commercial building.,10,,,,,,
competitive,競争の激しい,compete（競争する）から,The market is competitive.,10,,,,,,
comprehensive,包括的な,,We made a comprehensive plan.,10,,,,,,
conventional,従来の、慣習的な,,Conventional methods still work.,10,,,,,,
deliberate,意図的な、慎重な,,That was a deliberate choice.,10,,,,,,
domestic,国内の、家庭の,意味が2つある,Domestic sales increased.,10,,,,,,
drastic,思い切った,,They took drastic measures.,10,,,,,,
elaborate,手のこんだ、詳しく述べる,,She gave an elaborate explanation.,10,,,,,,
exceptional,例外的な、優れた,exception（例外）から,Her work is exceptional.,10,,,,,,
frequent,頻繁な,,He is a frequent visitor.,10,,,,,,
gradual change,徐々の変化,2語で1つの意味,We saw a gradual change.,10,,,,,,
inevitable result,避けられない結果,2語で1つの意味,That was an inevitable result.,10,,,,,,
mutual benefit,相互の利益,2語で1つの意味,It brings mutual benefit.,10,,,,,,
preliminary,予備の,,These are preliminary results.,10,,,,,,
subsequent,その後の,,Subsequent tests confirmed it.,10,,,,,,
temporary,一時的な,permanent の反対,This is a temporary job.,10,,,,,,
