問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
emphasize,強調する,emphasis（強調）から,She emphasized the importance.,10,,,,,,
enable,可能にする,en（する）＋ able（できる）,This tool enables fast work.,10,,,,,,
enhance,高める,,This will enhance the quality.,10,,,,,,
ensure,確実にする,,Please ensure the door is locked.,10,,,,,,
establish,設立する、確立する,,The school was established in 1950.,10,,,,,,
evaluate,評価する,,We evaluate students fairly.,10,,,,,,
examine,調べる、診察する,,The doctor examined me.,10,,,,,,
exhibit,展示する,exhibition（展覧会）から,The museum exhibits old maps.,10,,,,,,
generate,生み出す,,The plant generates electricity.,10,,,,,,
identify,特定する、見分ける,,Can you identify the problem?,10,,,,,,
illustrate,説明する、図解する,,This graph illustrates the trend.,10,,,,,,
implement,実行する,,They implemented the new system.,10,,,,,,
imply,ほのめかす,,His words implied disagreement.,10,,,,,,
indicate,示す,,The sign indicates the way.,10,,,,,,
interpret,解釈する、通訳する,,How do you interpret this?,10,,,,,,
investigate,調査する,,Police investigated the accident.,10,,,,,,
involve,含む、巻きこむ,,The job involves travel.,10,,,,,,
modify,修正する,,We modified the design.,10,,,,,,
observe,観察する、守る,意味が2つある,We observed the birds.,10,,,,,,
