問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
beautiful,美しい,,What a beautiful day!,10,,,,,,
lovely,すてきな,,That is a lovely dress.,10,,,,,,
pretty,かわいい、かなり,意味が2つある,She has a pretty smile.,10,,,,,,
handsome,ハンサムな,男性に使うことが多い,He is tall and handsome.,10,,,,,,
ugly,みにくい,beautiful の反対,The building is ugly.,10,,,,,,
clever,かしこい,smart とほぼ同じ,That is a clever idea.,10,,,,,,
excellent,すばらしい,very good より強い,Your work is excellent.,10,,,,,,
exciting,わくわくさせる,ものごとに使う,The game was exciting.,10,,,,,,
strange,奇妙な,,I heard a strange sound.,10,,,,,,
rude,失礼な,polite の反対,That was a rude answer.,10,,,,,,
rich,裕福な,poor の反対,He is a rich man.,10,,,,,,
poor,貧しい、かわいそうな,意味が2つある,The poor cat is hungry.,10,,,,,,
fat,太った,thin の反対,The cat is a little fat.,10,,,,,,
tall,背が高い,short の反対,My brother is tall.,10,,,,,,
dirty,よごれた,clean の反対,Your shoes are dirty.,10,,,,,,
dry,かわいた、かわかす,名詞にも動詞にも使う,The towel is dry.,10,,,,,,
flat,平らな,,The road is flat here.,10,,,,,,
tight,きつい,loose の反対,These shoes are tight.,10,,,,,,
broken,こわれた,break（こわす）から,The window is broken.,10,,,,,,
closed,閉まっている,open の反対,The shop is closed today.,10,,,,,,
