問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
trap,わな、閉じこめる,名詞にも動詞にも使う,The mouse fell into a trap.,10,,,,,,
traveler,旅行者,travel ＋ er,The traveler asked for directions.,10,,,,,,
treasure,宝物,,They found buried treasure.,10,,,,,,
trick,いたずら、手品,,He played a trick on me.,10,,,,,,
truly,本当に,true（本当の）＋ ly,I am truly sorry.,10,,,,,,
truth,真実,true（本当の）から,Tell me the truth.,10,,,,,,
tune,曲、調律する,名詞にも動詞にも使う,I know this tune.,10,,,,,,
twice,2度、2倍,,I read it twice.,10,,,,,,
uncertain,不確かな,certain（確かな）の反対,The future is uncertain.,10,,,,,,
uncomfortable,心地よくない,comfortable の反対,The chair is uncomfortable.,10,,,,,,
underwater,水中の,under ＋ water,We took underwater photos.,10,,,,,,
uneasy,不安な,easy（安心な）の反対,I feel uneasy about it.,10,,,,,,
unfair,不公平な,fair（公平な）の反対,That rule is unfair.,10,,,,,,
unforgettable,忘れられない,forget（忘れる）から,It was an unforgettable trip.,10,,,,,,
unhappy,不幸な,happy の反対,He looked unhappy.,10,,,,,,
unhealthy,不健康な,healthy の反対,Too much salt is unhealthy.,10,,,,,,
unimportant,重要でない,important の反対,That detail is unimportant.,10,,,,,,
unit,単位、単元,,We finished unit five.,10,,,,,,
unknown,知られていない,known の反対,The cause is unknown.,10,,,,,,
unlike,～と違って,like（～のような）の反対,"Unlike his brother, he is quiet.",10,,,,,,
