問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
fourteen,14,,There are fourteen boys.,10,,,,,,
sixteen,16,,My sister is sixteen.,10,,,,,,
seventeen,17,,Seventeen students came.,10,,,,,,
eighteen,18,,You can vote at eighteen.,10,,,,,,
nineteen,19,,Nineteen days are left.,10,,,,,,
forty,40,four に u が入らない,The class has forty chairs.,10,,,,,,
sixty,60,,An hour has sixty minutes.,10,,,,,,
seventy,70,,My grandfather is seventy.,10,,,,,,
eighty,80,,The test score was eighty.,10,,,,,,
ninety,90,,Ninety percent agreed.,10,,,,,,
fourth,4番目の,,This is the fourth time.,10,,,,,,
fifth,5番目の,,He is in the fifth grade.,10,,,,,,
tenth,10番目の,,Today is the tenth of May.,10,,,,,,
dozen,ダース、12個,,I bought a dozen eggs.,10,,,,,,
pair,一組、2つで1つ,,A pair of shoes is here.,10,,,,,,
piece,一切れ、1個,a piece of ～ の形で使う,Give me a piece of paper.,10,,,,,,
centimeter,センチメートル,,The line is ten centimeters long.,10,,,,,,
meter,メートル,,The pool is 25 meters long.,10,,,,,,
kilogram,キログラム,,The bag weighs two kilograms.,10,,,,,,
liter,リットル,,Buy one liter of milk.,10,,,,,,
