問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
banana,バナナ,,I eat a banana every morning.,10,,,,,,
grape,ぶどう,ふつう複数形で使う,These grapes are sweet.,10,,,,,,
strawberry,いちご,複数形は strawberries,Strawberries are red.,10,,,,,,
watermelon,すいか,water（水）＋ melon（メロン）,Watermelon is a summer fruit.,10,,,,,,
peach,もも,,This peach is juicy.,10,,,,,,
melon,メロン,,The melon is expensive.,10,,,,,,
lemon,レモン,,A lemon is sour.,10,,,,,,
cherry,さくらんぼ,複数形は cherries,I like cherries.,10,,,,,,
carrot,にんじん,,Rabbits like carrots.,10,,,,,,
onion,たまねぎ,,Cutting onions makes me cry.,10,,,,,,
potato,じゃがいも,複数形は potatoes,We grow potatoes.,10,,,,,,
tomato,トマト,複数形は tomatoes,This tomato is fresh.,10,,,,,,
cucumber,きゅうり,,Put cucumber in the salad.,10,,,,,,
pumpkin,かぼちゃ,,We made a pumpkin lantern.,10,,,,,,
cabbage,キャベツ,,Cabbage is good for you.,10,,,,,,
corn,とうもろこし,数えない名詞,We ate corn at the party.,10,,,,,,
bean,豆,,Beans have a lot of protein.,10,,,,,,
mushroom,きのこ,,Do not eat wild mushrooms.,10,,,,,,
spinach,ほうれんそう,,Spinach has iron.,10,,,,,,
radish,だいこん,,The radish is white.,10,,,,,,
