問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
inequality,不平等,equal（平等な）から,Income inequality is growing.,10,,,,,,
discrimination,差別,discriminate（差別する）から,Discrimination is illegal.,10,,,,,,
prejudice,偏見,,We must fight prejudice.,10,,,,,,
stereotype,固定観念,,That is a common stereotype.,10,,,,,,
diversity,多様性,diverse（多様な）から,Diversity strengthens a team.,10,,,,,,
inclusion,包摂、受け入れ,include（含む）から,Inclusion benefits everyone.,10,,,,,,
demographic,人口統計の,,Demographic change is rapid.,10,,,,,,
aging society,高齢化社会,2語で1つの意味,Japan is an aging society.,10,,,,,,
birth rate,出生率,2語で1つの意味,The birth rate is falling.,10,,,,,,
labor shortage,労働力不足,2語で1つの意味,A labor shortage hit the industry.,10,,,,,,
unemployment,失業,un（否定）＋ employment（雇用）,Unemployment fell last year.,10,,,,,,
homeless,住む家のない,home（家）＋ less（無い）,The city helps homeless people.,10,,,,,,
social security,社会保障,2語で1つの意味,Social security supports the elderly.,10,,,,,,
pension,年金,,He lives on a pension.,10,,,,,,
crime rate,犯罪率,2語で1つの意味,The crime rate decreased.,10,,,,,,
urbanization,都市化,urban（都市の）から,Urbanization continues worldwide.,10,,,,,,
depopulation,人口減少,de（減）＋ population（人口）,Rural depopulation is serious.,10,,,,,,
gender,性別,,Gender equality is important.,10,,,,,,
generation gap,世代間の違い,2語で1つの意味,The generation gap is narrowing.,10,,,,,,
social norm,社会規範,2語で1つの意味,Social norms change over time.,10,,,,,,
