問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
million,100万,,The city has a million people.,10,,,,,,
billion,10億,,The world has eight billion people.,10,,,,,,
percentage,割合、百分率,percent（パーセント）から,What percentage passed?,10,,,,,,
majority of,～の大部分,2語で1つの意味,The majority of students agreed.,10,,,,,,
minority group,少数派の集団,2語で1つの意味,We must respect minority groups.,10,,,,,,
increase in,～の増加,2語で1つの意味,There was an increase in visitors.,10,,,,,,
decrease in,～の減少,2語で1つの意味,We saw a decrease in sales.,10,,,,,,
total number,総数,2語で1つの意味,The total number is 250.,10,,,,,,
average of,～の平均,2語で1つの意味,The average of the scores is 70.,10,,,,,,
at least,少なくとも,2語で1つの意味,Study at least one hour.,10,,,,,,
at most,多くても,2語で1つの意味,It takes at most ten minutes.,10,,,,,,
more than,～より多い,2語で1つの意味,More than half agreed.,10,,,,,,
less than,～より少ない,2語で1つの意味,It costs less than 500 yen.,10,,,,,,
as many as,～もの多くの,3語で1つの意味,As many as 100 people came.,10,,,,,,
a number of,いくつかの,3語で1つの意味,A number of students were absent.,10,,,,,,
the number of,～の数,3語で1つの意味,The number of cars is rising.,10,,,,,,
twice as,2倍の,2語で1つの意味,It is twice as long.,10,,,,,,
half of,～の半分,2語で1つの意味,Half of the class agreed.,10,,,,,,
most of,～の大部分,2語で1つの意味,Most of the water evaporated.,10,,,,,,
none of,～のどれも～ない,2語で1つの意味,None of them came.,10,,,,,,
