問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
separation of powers,三権分立,3語で1つの意味,Separation of powers limits abuse.,10,,,,,,
judiciary,司法,,The judiciary is independent.,10,,,,,,
executive branch,行政府,2語で1つの意味,The executive branch enforces laws.,10,,,,,,
legislative branch,立法府,2語で1つの意味,The legislative branch makes laws.,10,,,,,,
human rights,人権,2語で1つの意味,Human rights must be protected.,10,,,,,,
freedom of speech,言論の自由,3語で1つの意味,Freedom of speech is a basic right.,10,,,,,,
due process,適正手続き,2語で1つの意味,Due process protects the accused.,10,,,,,,
social contract,社会契約,2語で1つの意味,The social contract explains government.,10,,,,,,
gross domestic product,国内総生産,3語で1つの意味,Gross domestic product grew slightly.,10,,,,,,
supply chain,供給網,2語で1つの意味,The supply chain was disrupted.,10,,,,,,
labor union,労働組合,2語で1つの意味,The labor union negotiated wages.,10,,,,,,
minimum wage,最低賃金,2語で1つの意味,The minimum wage rose.,10,,,,,,
social insurance,社会保険,2語で1つの意味,Social insurance covers medical costs.,10,,,,,,
public opinion,世論,2語で1つの意味,Public opinion shifted.,10,,,,,,
mass media,マスメディア,2語で1つの意味,Mass media shapes opinion.,10,,,,,,
civil society,市民社会,2語で1つの意味,Civil society plays a key role.,10,,,,,,
globalized,グローバル化した,globalize（世界化する）から,We live in a globalized world.,10,,,,,,
food security,食料安全保障,2語で1つの意味,Food security is a national issue.,10,,,,,,
energy policy,エネルギー政策,2語で1つの意味,Energy policy is under review.,10,,,,,,
aging population,高齢化する人口,2語で1つの意味,An aging population strains services.,10,,,,,,
