問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
affair,できごと、問題,,That is a private affair.,10,,,,,,
aged,～歳の,age（年齢）から,Children aged six and over may join.,10,,,,,,
aisle,通路,s を読まない,I want an aisle seat.,10,,,,,,
alright,大丈夫で,all right とほぼ同じ,Are you alright?,10,,,,,,
anymore,もはや,否定文で使う,I do not live there anymore.,10,,,,,,
armchair,ひじかけいす,arm ＋ chair,He sat in the armchair.,10,,,,,,
armed,武装した,arm（武装する）から,The guard was armed.,10,,,,,,
audio,音声の,,Turn up the audio.,10,,,,,,
banking,銀行業,bank ＋ ing,She works in banking.,10,,,,,,
barber,理髪師,,I went to the barber.,10,,,,,,
batch,ひとまとまり,,She baked a batch of cookies.,10,,,,,,
been,～であった,be の変化した形,I have been to Kyoto.,10,,,,,,
beer,ビール,,Adults may drink beer.,10,,,,,,
belly,腹,stomach とほぼ同じ,The cat rolled on its belly.,10,,,,,,
blonde,金髪の,,She has blonde hair.,10,,,,,,
bonus,賞与、おまけ,,He got a year-end bonus.,10,,,,,,
brainstorm,考えを出し合う,brain ＋ storm,Let us brainstorm ideas.,10,,,,,,
cab,タクシー,taxi とほぼ同じ,We took a cab home.,10,,,,,,
car park,駐車場,イギリスでの言い方,The car park is full.,10,,,,,,
cassette,カセット,,He still has cassette tapes.,10,,,,,,
