問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
score sheet,楽譜,2語で1つの意味,Read the score sheet.,10,,,,,,
note value,音符の長さ,2語で1つの意味,Learn the note values.,10,,,,,,
scale,音階、目盛り,意味が2つある,Practice the C major scale.,10,,,,,,
chord,和音,h を読まない,Play a simple chord.,10,,,,,,
tempo,速さ、テンポ,,The tempo is too fast.,10,,,,,,
recorder,リコーダー、録音機,意味が2つある,We play the recorder in music.,10,,,,,,
brush stroke,筆づかい,2語で1つの意味,His brush stroke is bold.,10,,,,,,
palette,パレット,,Mix the colors on the palette.,10,,,,,,
easel,イーゼル、画架,,Put the canvas on the easel.,10,,,,,,
perspective drawing,遠近法の絵,2語で1つの意味,We learned perspective drawing.,10,,,,,,
clay,ねん土,,We made a bowl from clay.,10,,,,,,
carve,彫る,,He carved a wooden bird.,10,,,,,,
sewing,裁縫,sew（縫う）＋ ing,Sewing class is on Thursday.,10,,,,,,
needle,針,,Thread the needle carefully.,10,,,,,,
thread,糸、糸を通す,名詞にも動詞にも使う,Cut the thread here.,10,,,,,,
apron,エプロン,,Wear an apron when you cook.,10,,,,,,
measuring cup,計量カップ,2語で1つの意味,Use a measuring cup.,10,,,,,,
nutrition balance,栄養バランス,2語で1つの意味,Think about nutrition balance.,10,,,,,,
woodwork,木工,wood（木）＋ work（作業）,We made a shelf in woodwork.,10,,,,,,
blueprint,設計図,blue（青）＋ print（印刷）,Follow the blueprint.,10,,,,,,
