問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
hi,やあ,くだけたあいさつ,"Hi, how are you?",10,,,,,,
bye,さようなら,goodbye を短くした形,"Bye, see you tomorrow.",10,,,,,,
good morning,おはよう,2語で1つのあいさつ,"Good morning, everyone.",10,,,,,,
good afternoon,こんにちは,午後のあいさつ,"Good afternoon, sir.",10,,,,,,
good night,おやすみ,別れるときにも使う,"Good night, sleep well.",10,,,,,,
thanks,ありがとう,thank you のくだけた形,Thanks for your help.,10,,,,,,
pleasure,喜び,My pleasure. で「どういたしまして」,It is a pleasure to meet you.,10,,,,,,
pardon,許し,Pardon? で「もう一度言って」,Pardon me for being late.,10,,,,,,
sir,（男性への敬称）,目上の男性に使う,"Excuse me, sir.",10,,,,,,
Mr.,～さん、～先生,男性の名前の前につける,Mr. Tanaka is our teacher.,10,,,,,,
Mrs.,～さん,結婚している女性につける,Mrs. Smith lives next door.,10,,,,,,
dear,親愛なる,手紙の書き出しに使う,"Dear Ken, how are you?",10,,,,,,
greet,あいさつする,greeting（あいさつ）から,She greeted us warmly.,10,,,,,,
conversation,会話,,We had a long conversation.,10,,,,,,
talk,話す,talk with ～ の形で使う,Let us talk about it.,10,,,,,,
say,言う,said が過去の形,"Say it again, please.",10,,,,,,
hear,聞こえる,listen は「耳を傾ける」,I can hear a bird.,10,,,,,,
spell,つづる、つづり,名詞にも動詞にも使う,How do you spell it?,10,,,,,,
suggestion,提案,suggest（提案する）から,Thank you for your suggestion.,10,,,,,,
wish,願い、願う,名詞にも動詞にも使う,Make a wish.,10,,,,,,
