問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3
family,家族,家族全体をひとまとまりで表します,My family has four people.,10,,,,
father,父,くだけた言い方は dad です,My father works at a hospital.,10,,,,
mother,母,くだけた言い方は mom です,My mother makes lunch for me.,10,,,,
brother,兄弟,兄と弟を区別しない語です,I have two brothers.,10,,,,
sister,姉妹,姉と妹を区別しない語です,My sister plays tennis.,10,,,,
parent,親,両親は parents と複数にします,My parents are teachers.,10,,,,
grandfather,祖父,grand（一つ上の世代）＋ father,My grandfather likes fishing.,10,,,,
grandmother,祖母,grand（一つ上の世代）＋ mother,My grandmother tells old stories.,10,,,,
house,家,建物としての家を指します,Their house is very large.,10,,,,
home,家庭・自分の家,気持ちのこもった「家」です,I go home at five.,10,,,,
room,部屋,living room で「居間」,My room is on the second floor.,10,,,,
kitchen,台所,料理をする場所です,She is cooking in the kitchen.,10,,,,
window,窓,open the window で「窓を開ける」,Please close the window.,10,,,,
door,ドア,knock on the door で「ドアをノックする」,The door is open.,10,,,,
table,テーブル,食事に使う台です,Put the dish on the table.,10,,,,
bed,ベッド,go to bed で「寝る」,I make my bed every morning.,10,,,,
garden,庭,花や野菜を育てる庭です,We grow tomatoes in the garden.,10,,,,
phone,電話,telephone を短くした語です,My phone is on the desk.,10,,,,
letter,手紙・文字,「文字」の意味もあります,I write a letter to my friend.,10,,,,
picture,写真・絵,take a picture で「写真をとる」,This picture is beautiful.,10,,,,
