問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
jet,ジェット機,,The jet flew overhead.,10,,,,,,
church,教会,,The church is very old.,10,,,,,,
palace,宮殿,,We visited the royal palace.,10,,,,,,
tower,塔,,The tower is 300 meters high.,10,,,,,,
store,店,shop とほぼ同じ,The store opens at ten.,10,,,,,,
cinema,映画館,イギリスでの言い方,We went to the cinema.,10,,,,,,
pool,プール,swimming pool を短くした形,The pool is closed today.,10,,,,,,
swimming pool,プール,2語で1つの意味,The swimming pool is deep.,10,,,,,,
swimming,水泳,swim（泳ぐ）＋ ing,Swimming is good exercise.,10,,,,,,
football,フットボール、サッカー,国により指すものが違う,He plays football after school.,10,,,,,,
Olympics,オリンピック,いつも複数形で使う,The Olympics are held every four years.,10,,,,,,
contest,コンテスト、競技会,,She won the speech contest.,10,,,,,,
celebration,祝い,celebrate（祝う）から,The celebration lasted all day.,10,,,,,,
party,パーティー、政党,意味が2つある,We had a birthday party.,10,,,,,,
drama,劇、ドラマ,,I like TV dramas.,10,,,,,,
opera,オペラ,,She sang in an opera.,10,,,,,,
cartoon,漫画、アニメ,,Children love cartoons.,10,,,,,,
album,アルバム,,I made a photo album.,10,,,,,,
poster,ポスター,,Put the poster on the wall.,10,,,,,,
photo,写真,photograph を短くした形,Take a photo of us.,10,,,,,,
