問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
although,～だけれども,though よりかたい言い方,"Although it rained, we went out.",10,,,,,,
unless,～でない限り,if not とほぼ同じ,You cannot pass unless you study.,10,,,,,,
as soon as,～するとすぐに,3語で1つの意味,Call me as soon as you arrive.,10,,,,,,
as long as,～する限り,3語で1つの意味,You can stay as long as you like.,10,,,,,,
in order to,～するために,3語で1つの意味,I study in order to pass the test.,10,,,,,,
so that,～するように,2語で1つの意味,Speak slowly so that everyone understands.,10,,,,,,
even if,たとえ～でも,2語で1つの意味,"Even if it rains, we will go.",10,,,,,,
as well as,～と同様に,3語で1つの意味,She speaks French as well as English.,10,,,,,,
according to,～によれば,2語で1つの意味,"According to the news, it will snow.",10,,,,,,
because of,～のために,あとに名詞を置く,We stayed home because of the rain.,10,,,,,,
thanks to,～のおかげで,2語で1つの意味,"Thanks to your help, I finished.",10,,,,,,
instead of,～の代わりに,2語で1つの意味,I drank tea instead of coffee.,10,,,,,,
in spite of,～にもかかわらず,3語で1つの意味,"In spite of the rain, we walked.",10,,,,,,
on the other hand,一方では,4語で1つの意味,"On the other hand, it is cheaper.",10,,,,,,
as a result,その結果,3語で1つの意味,"As a result, we changed the plan.",10,,,,,,
for instance,たとえば,2語で1つの意味,"For instance, this book is useful.",10,,,,,,
in fact,実際は,2語で1つの意味,"In fact, it was quite easy.",10,,,,,,
at the same time,同時に,4語で1つの意味,"At the same time, we must be careful.",10,,,,,,
not only,～だけでなく,not only A but also B の形で使う,Not only she but also I went.,10,,,,,,
whether,～かどうか,,I do not know whether he will come.,10,,,,,,
