問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
statement,発言、声明,state（述べる）＋ ment,He made a short statement.,10,,,,,,
statue,像,,The statue stands in the park.,10,,,,,,
steak,ステーキ,,I ordered a steak.,10,,,,,,
steal,ぬすむ,stole が過去の形,Someone stole my bike.,10,,,,,,
stomach,胃、おなか,ch を「ク」と読む,My stomach hurts.,10,,,,,,
stomachache,腹痛,stomach ＋ ache（痛み）,I have a stomachache.,10,,,,,,
stranger,見知らぬ人,strange（見知らぬ）＋ r,Do not talk to strangers.,10,,,,,,
strike,打つ、ストライキ,意味が2つある,Lightning struck the tree.,10,,,,,,
string,ひも、弦,,Tie it with a string.,10,,,,,,
strongly,強く,strong（強い）＋ ly,I strongly agree.,10,,,,,,
stuff,物、材料,数えない名詞,Put your stuff over there.,10,,,,,,
style,様式、型,,I like her writing style.,10,,,,,,
successfully,首尾よく,successful（成功した）＋ ly,The plan worked successfully.,10,,,,,,
such,そのような,such as ～ で「～のような」,I never saw such a thing.,10,,,,,,
suit,スーツ、似合う,名詞にも動詞にも使う,That color suits you.,10,,,,,,
suitable,適した,suit（合う）＋ able,This book is suitable for beginners.,10,,,,,,
suitcase,スーツケース,suit ＋ case,My suitcase is heavy.,10,,,,,,
sunflower,ひまわり,sun ＋ flower,Sunflowers face the sun.,10,,,,,,
sunglasses,サングラス,いつも複数形で使う,Wear sunglasses in summer.,10,,,,,,
sunlight,日光,sun ＋ light,Plants need sunlight.,10,,,,,,
