問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
particularly,とくに,particular（特定の）＋ ly,I particularly like this one.,10,,,,,,
especially,とりわけ,,"It is cold, especially at night.",10,,,,,,
generally,一般に,general（一般の）＋ ly,"Generally, prices are rising.",10,,,,,,
basically,基本的に,basic（基本の）＋ ly,"Basically, the plan is good.",10,,,,,,
actually,実際は,,"Actually, I have never been there.",10,,,,,,
certainly,確かに,certain（確かな）＋ ly,"Certainly, I will help.",10,,,,,,
definitely,間違いなく,,I will definitely come.,10,,,,,,
probably,おそらく,,He will probably arrive late.,10,,,,,,
possibly,ひょっとすると,,It could possibly rain.,10,,,,,,
apparently,見たところ,,"Apparently, they left early.",10,,,,,,
obviously,明らかに,obvious（明らかな）＋ ly,"Obviously, we need more time.",10,,,,,,
eventually,結局、ついに,,"Eventually, he agreed.",10,,,,,,
immediately,ただちに,immediate（即時の）＋ ly,Call me immediately.,10,,,,,,
previously,以前に,previous（前の）＋ ly,I previously worked there.,10,,,,,,
currently,現在,current（現在の）＋ ly,She is currently studying abroad.,10,,,,,,
frequently,頻繁に,frequent（頻繁な）＋ ly,He frequently visits us.,10,,,,,,
rarely,めったに～ない,rare（まれな）＋ ly,I rarely watch TV.,10,,,,,,
seldom,めったに～ない,rarely とほぼ同じ,She seldom complains.,10,,,,,,
barely,かろうじて、ほとんど～ない,,I barely finished in time.,10,,,,,,
otherwise,そうでなければ,,"Hurry, otherwise we will be late.",10,,,,,,
