問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
data literacy,データを読む力,2語で1つの意味,Data literacy is a modern skill.,10,,,,,,
digital divide,情報格差,2語で1つの意味,The digital divide is widening.,10,,,,,,
information ethics,情報倫理,2語で1つの意味,We study information ethics.,10,,,,,,
personal data,個人情報,2語で1つの意味,Protect your personal data.,10,,,,,,
consent form,同意書,2語で1つの意味,Sign the consent form.,10,,,,,,
anonymize,匿名にする,anonymous（匿名の）から,Anonymize the survey answers.,10,,,,,,
binary,2進法の,,Computers use binary numbers.,10,,,,,,
compression,圧縮,compress（圧縮する）から,Image compression saves space.,10,,,,,,
resolution size,解像度,2語で1つの意味,Lower the resolution size.,10,,,,,,
spreadsheet,表計算ソフト,spread（広げる）＋ sheet（表）,Use a spreadsheet for the data.,10,,,,,,
formula input,式の入力,2語で1つの意味,Check the formula input.,10,,,,,,
scatter plot,散布図,2語で1つの意味,Draw a scatter plot.,10,,,,,,
bar chart,棒グラフ,2語で1つの意味,The bar chart shows sales.,10,,,,,,
pie chart,円グラフ,2語で1つの意味,A pie chart shows shares.,10,,,,,,
median,中央値,,The median is more stable than the mean.,10,,,,,,
mean value,平均値,2語で1つの意味,Calculate the mean value.,10,,,,,,
deviation,偏差、逸脱,,Find the standard deviation.,10,,,,,,
outlier,外れ値,,Remove the outlier from the data.,10,,,,,,
sampling method,標本の取り方,2語で1つの意味,The sampling method matters.,10,,,,,,
causal relation,因果関係,2語で1つの意味,Correlation is not a causal relation.,10,,,,,,
