問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
important,重要な,,This is an important question.,10,,,,,,
necessary,必要な,,Sleep is necessary for health.,10,,,,,,
useful,役に立つ,use（使う）＋ ful,This book is very useful.,10,,,,,,
possible,可能な,,It is possible to finish today.,10,,,,,,
impossible,不可能な,im（否定）＋ possible,That is impossible.,10,,,,,,
simple,簡単な、質素な,,The rule is simple.,10,,,,,,
common,ふつうの、共通の,,This is a common mistake.,10,,,,,,
popular,人気のある,,This song is popular.,10,,,,,,
famous,有名な,be famous for ～ の形で使う,Kyoto is famous for its temples.,10,,,,,,
modern,現代の,,I like modern art.,10,,,,,,
ancient,古代の,,This is an ancient city.,10,,,,,,
natural,自然の,nature（自然）＋ al,This juice has natural flavor.,10,,,,,,
typical,典型的な,,This is a typical Japanese house.,10,,,,,,
public,公共の,,This is a public library.,10,,,,,,
private,個人の、私的な,public の反対,This is a private room.,10,,,,,,
crowded,こんだ,crowd（群衆）から,The train was crowded.,10,,,,,,
clear,はっきりした、晴れた,意味が2つある,The sky is clear today.,10,,,,,,
dark,暗い,,It gets dark at six.,10,,,,,,
bright,明るい,,The room is bright.,10,,,,,,
