問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
video,動画、ビデオ,,I watched a short video.,10,,,,,,
DVD,DVD,,We rented a DVD.,10,,,,,,
CD,CD,,She bought a new CD.,10,,,,,,
CD player,CDプレーヤー,2語で1つの意味,The CD player is broken.,10,,,,,,
fan,ファン、うちわ,意味が2つある,I am a fan of that team.,10,,,,,,
reader,読者,read（読む）＋ er,The book has many readers.,10,,,,,,
reading,読書,read（読む）＋ ing,Reading is my hobby.,10,,,,,,
dancing,ダンス,dance（おどる）＋ ing,Dancing makes me happy.,10,,,,,,
feeling,気持ち,feel（感じる）＋ ing,I understand your feeling.,10,,,,,,
dream,夢、夢を見る,名詞にも動詞にも使う,I had a strange dream.,10,,,,,,
luck,運,lucky（運のよい）から,Good luck on your test.,10,,,,,,
surprise,驚き、驚かせる,名詞にも動詞にも使う,What a surprise!,10,,,,,,
noise,騒音,noisy（うるさい）から,The noise woke me up.,10,,,,,,
matter,事がら、重要である,意味が2つある,What is the matter?,10,,,,,,
spot,地点、しみ,,This is a good spot for lunch.,10,,,,,,
sight,景色、視力,意味が2つある,The sight was beautiful.,10,,,,,,
birth,誕生,birthday（誕生日）から,The birth of the baby was in May.,10,,,,,,
age,年齢、時代,意味が2つある,What is your age?,10,,,,,,
role,役割,play a role で「役割を果たす」,She has an important role.,10,,,,,,
self,自分自身,複数形は selves,Think about your true self.,10,,,,,,
