問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3
圧力,あつりょく,おし付ける力,,15,あつりょく,,,
周囲,しゅうい,まわり,,15,しゅうい,,,
移動,いどう,場所をうつすこと,,15,いどう,,,
原因,げんいん,ものごとが起こるもと,,15,げんいん,,,
永久,えいきゅう,いつまでも続くこと,,15,えいきゅう,,,
経営,けいえい,事業を動かしていくこと,,15,けいえい,,,
衛生,えいせい,健康を守ること,,15,えいせい,,,
安易,あんい,かんたんに考えること,,15,あんい,,,
利益,りえき,もうけ,,15,りえき,,,
液体,えきたい,水のように流れるもの,,15,えきたい,,,
演技,えんぎ,役を演じること,,15,えんぎ,,,
応用,おうよう,学んだことを別のことに使うこと,,15,おうよう,,,
往復,おうふく,行きと帰り,,15,おうふく,,,
桜,さくら,春に咲く花の木,,15,さくら,,,
可能,かのう,できること,,15,かのう,,,
仮面,かめん,顔につけるお面,,15,かめん,,,
価格,かかく,品物のねだん,,15,かかく,,,
河口,かこう,川が海に出るところ,,15,かこう,,,
通過,つうか,通りすぎること,,15,つうか,,,
快晴,かいせい,気持ちよく晴れた天気,,15,かいせい,,,
解決,かいけつ,問題をかたづけること,,15,かいけつ,,,
性格,せいかく,その人の持ち味,,15,せいかく,,,
確認,かくにん,たしかめること,,15,かくにん,,,
金額,きんがく,お金の高,,15,きんがく,,,
週刊誌,しゅうかんし,週に一度出る雑誌,,15,しゅうかんし,,,
幹線,かんせん,中心になる道や線路,,15,かんせん,,,
習慣,しゅうかん,いつもしていること,,15,しゅうかん,,,
眼科,がんか,目をみるお医者さん,,15,がんか,,,
世紀,せいき,百年をひとまとまりにした数え方,,15,せいき,,,
基本,きほん,いちばんもとになること,,15,きほん,,,
寄付,きふ,役立ててもらうためにお金や物を出すこと,,15,きふ,,,
規則,きそく,みんなで守る決まり,,15,きそく,,,
喜ぶ,よろこぶ,うれしく思う,,15,よろこぶ,,,
技術,ぎじゅつ,ものを作ったり動かしたりするうでまえ,,15,ぎじゅつ,,,
意義,いぎ,そのことの持つ価値,,15,いぎ,,,
逆転,ぎゃくてん,立場や順番がひっくり返ること,,15,ぎゃくてん,,,
久しい,ひさしい,長い時間がたっている,,15,ひさしい,,,
新旧,しんきゅう,新しいものと古いもの,,15,しんきゅう,,,
救助,きゅうじょ,危ない人を助けること,,15,きゅうじょ,,,
住居,じゅうきょ,住まい,,15,じゅうきょ,,,
許可,きょか,してよいと認めること,,15,きょか,,,
国境,こっきょう,国と国のさかい,,15,こっきょう,,,
平均,へいきん,ならしてそろえた数,,15,へいきん,,,
禁止,きんし,してはいけないと止めること,,15,きんし,,,
語句,ごく,ことばのまとまり,,15,ごく,,,
大型,おおがた,形が大きいこと,,15,おおがた,,,
経験,けいけん,実際にやってみたこと,,15,けいけん,,,
清潔,せいけつ,きれいでさっぱりしていること,,15,せいけつ,,,
事件,じけん,世の中で起きたできごと,,15,じけん,,,
生命保険,せいめいほけん,もしものときに備える仕組み,,15,せいめいほけん,,,
検査,けんさ,悪いところがないか調べること,,15,けんさ,,,
限界,げんかい,これ以上はないというさかい,,15,げんかい,,,
現在,げんざい,いま,,15,げんざい,,,
減少,げんしょう,数がへること,,15,げんしょう,,,
事故,じこ,思いがけない悪いできごと,,15,じこ,,,
個人,こじん,ひとりひとり,,15,こじん,,,
保護,ほご,守ること,,15,ほご,,,
