問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
argument structure,論の組み立て,2語で1つの意味,Check the argument structure.,10,,,,,,
claim,主張、主張する,,His claim lacks evidence.,10,,,,,,
assertion,断言、主張,assert（断言する）から,That is a bold assertion.,10,,,,,,
refute,反論する、論破する,,She refuted the argument.,10,,,,,,
rebut,反論する,refute とほぼ同じ,He rebutted the criticism.,10,,,,,,
concede,認める、譲る,,I concede that point.,10,,,,,,
contradict,矛盾する、反論する,contra（反）＋ dict（言う）,The two reports contradict each other.,10,,,,,,
coherent,首尾一貫した,coherence（一貫性）から,Write a coherent essay.,10,,,,,,
ambiguity,あいまいさ,ambiguous（あいまいな）から,Remove the ambiguity.,10,,,,,,
nuance,微妙な違い,,The nuance is hard to translate.,10,,,,,,
connotation,含み、言外の意味,,The word has a negative connotation.,10,,,,,,
literal,文字どおりの,,That is the literal meaning.,10,,,,,,
figurative,比喩的な,literal の反対,This is a figurative expression.,10,,,,,,
synonym,同義語,syn（同じ）＋ onym（名）,Find a synonym for big.,10,,,,,,
antonym,反対語,anti（反）＋ onym（名）,Hot is the antonym of cold.,10,,,,,,
idiom,慣用句,,This idiom is hard to translate.,10,,,,,,
dialect,方言,,He speaks a local dialect.,10,,,,,,
etymology,語源,,The etymology is Latin.,10,,,,,,
syntax,統語、構文,,English syntax differs from Japanese.,10,,,,,,
discourse,談話、論説,,Public discourse has changed.,10,,,,,,
