問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
construct,建てる、組み立てる,construction（建設）から,They constructed a bridge.,10,,,,,,
consume,消費する,consumption（消費）から,Cars consume fuel.,10,,,,,,
continual,たびたびの,continue（続く）から,There were continual delays.,10,,,,,,
continuous,連続した,continue（続く）から,We heard a continuous noise.,10,,,,,,
continuously,絶え間なく,continuous ＋ ly,It rained continuously.,10,,,,,,
contrary,反対の,on the contrary で「それどころか」,The contrary is true.,10,,,,,,
contribute,貢献する、寄付する,contribution（貢献）から,Everyone contributed ideas.,10,,,,,,
correction,訂正,correct（直す）から,Make the corrections in red.,10,,,,,,
cotton,綿,,This shirt is cotton.,10,,,,,,
cough,せき、せきをする,gh を「フ」と読む,He has a bad cough.,10,,,,,,
countless,数えきれない,count ＋ less,She made countless attempts.,10,,,,,,
courageous,勇気のある,courage（勇気）から,That was a courageous act.,10,,,,,,
craft,工芸、技,,Traditional craft takes years to learn.,10,,,,,,
crash,衝突、衝突する,,The car crashed into a wall.,10,,,,,,
creator,創る人,create ＋ or,The creator explained the design.,10,,,,,,
crew,乗組員,ひとまとまりとして扱う,The crew worked all night.,10,,,,,,
criminal,犯罪者、犯罪の,crime（犯罪）から,The criminal was caught.,10,,,,,,
crisis point,危機的な局面,2語で1つの意味,We reached a crisis point.,10,,,,,,
critically,批判的に、危うく,critical（批判的な）＋ ly,Read the text critically.,10,,,,,,
crop yield,収穫量,2語で1つの意味,The crop yield fell this year.,10,,,,,,
