問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
babysitter,子守,baby ＋ sitter,We hired a babysitter.,10,,,,,,
baggage,手荷物,数えない名詞,Check your baggage here.,10,,,,,,
bakery,パン屋,bake（焼く）から,The bakery opens at seven.,10,,,,,,
balance,つり合い、残高,意味が2つある,Keep your balance.,10,,,,,,
bald,はげた,,My uncle is going bald.,10,,,,,,
bare,裸の、むきだしの,,Do not walk with bare feet.,10,,,,,,
bark,ほえる、木の皮,意味が2つある,The dog barked all night.,10,,,,,,
barrel,たる,,The barrel is full of water.,10,,,,,,
basis,基礎、根拠,base（土台）から。複数形は bases,On what basis do you say that?,10,,,,,,
battle,戦い,,The battle lasted three days.,10,,,,,,
beard,あごひげ,,He grew a beard.,10,,,,,,
beast,けもの,,The beast lives in the forest.,10,,,,,,
beautifully,美しく,beautiful ＋ ly,She sings beautifully.,10,,,,,,
belief,信念、信じること,believe（信じる）から,That is my belief.,10,,,,,,
beneath,～の下に,under とほぼ同じ,The keys were beneath the papers.,10,,,,,,
bet,かける、賭け,,I bet he will come.,10,,,,,,
bilingual,2言語を話す,bi（2つ）＋ lingual（言語の）,She is bilingual.,10,,,,,,
biography,伝記,bio（生命）＋ graphy（記述）,I read a biography of Edison.,10,,,,,,
biology,生物学,bio（生命）＋ logy（学問）,Biology is my favorite subject.,10,,,,,,
bleed,出血する,blood（血）から,My nose is bleeding.,10,,,,,,
