問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
able,～できる,be able to ～ の形で使う,She is able to swim.,10,,,,,,
absence,欠席、不在,absent（欠席の）から,His absence was noticed.,10,,,,,,
absolute,絶対の,absolutely（絶対に）から,That is the absolute truth.,10,,,,,,
absolutely,絶対に、まったく,absolute（絶対の）＋ ly,You are absolutely right.,10,,,,,,
absorb,吸収する,,Plants absorb water.,10,,,,,,
abundant,豊富な,abundance（豊富さ）から,The region has abundant water.,10,,,,,,
academy,学院、学会,academic（学問の）から,She studies at a music academy.,10,,,,,,
acceptance,受け入れ,accept（受け入れる）から,The acceptance rate is low.,10,,,,,,
accidental,偶然の,accident（事故）から,It was an accidental discovery.,10,,,,,,
accidentally,偶然に,accidental ＋ ly,I accidentally deleted the file.,10,,,,,,
accurately,正確に,accurate（正確な）＋ ly,Measure it accurately.,10,,,,,,
accuse,非難する、告発する,accuse A of B の形で使う,They accused him of lying.,10,,,,,,
ache,痛み、痛む,headache（頭痛）から,My back aches.,10,,,,,,
actress,女優,actor の女性形,She is a famous actress.,10,,,,,,
admiration,感嘆、尊敬,admire（感心する）から,I have great admiration for her.,10,,,,,,
admission,入場、入学、認めること,意味が多い,Admission is free.,10,,,,,,
afford,余裕がある,can afford ～ の形で使う,I cannot afford a new car.,10,,,,,,
afterward,その後,after ＋ ward,We talked afterward.,10,,,,,,
aggressive,攻撃的な、積極的な,,The dog became aggressive.,10,,,,,,
agreement,合意、協定,agree（賛成する）から,They reached an agreement.,10,,,,,,
