問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
parental,親の,parent（親）から,You need parental permission.,10,,,,,,
parking,駐車,park（駐車する）から,Parking is not allowed here.,10,,,,,,
parrot,オウム,,The parrot can say hello.,10,,,,,,
part-time,非常勤の、アルバイトの,full-time（常勤の）と対で使う,He has a part-time job.,10,,,,,,
partial,部分的な、かたよった,意味が2つある,We had only partial success.,10,,,,,,
participant,参加者,participate（参加する）から,Every participant received a badge.,10,,,,,,
participle,分詞,文法のことば,The past participle ends in ed.,10,,,,,,
passion,情熱,,She has a passion for music.,10,,,,,,
passive,受け身の,active（能動の）と対で使う,This sentence is passive.,10,,,,,,
patience,忍耐、がまん,patient（がまん強い）から,Teaching requires patience.,10,,,,,,
patrol,巡回、見回る,,The guards patrol at night.,10,,,,,,
pattern,模様、型,,The cloth has a flower pattern.,10,,,,,,
peanut,ピーナッツ,,He is allergic to peanuts.,10,,,,,,
peculiar,奇妙な、独特の,,The soup has a peculiar taste.,10,,,,,,
penniless,一文なしの,penny ＋ less（〜がない）,He arrived penniless.,10,,,,,,
penny,ペニー（小額のお金）,,It costs only a penny.,10,,,,,,
per cent,パーセント,英国では2語に分けて書く,Ten per cent of the class was absent.,10,,,,,,
performer,演じる人,perform（演じる）から,The performer bowed deeply.,10,,,,,,
permanently,永久に,permanent（永久の）から,He moved there permanently.,10,,,,,,
permit,許可する、許可証,意味が2つある,They permitted us to enter.,10,,,,,,
