問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
screen,画面,,Look at the screen.,10,,,,,,
keyboard,キーボード,key（キー）＋ board（板）,This keyboard is easy to use.,10,,,,,,
mouse,マウス、ねずみ,複数形は mice,Move the mouse to the right.,10,,,,,,
printer,プリンター,print（印刷する）＋ er,The printer is out of paper.,10,,,,,,
file,ファイル、書類,,"Save the file, please.",10,,,,,,
save,保存する、救う,意味が2つある,Save your work often.,10,,,,,,
delete,消す、削除する,,Do not delete that file.,10,,,,,,
search,さがす、検索,,I searched for the word online.,10,,,,,,
online,オンラインで,,I bought this book online.,10,,,,,,
website,ウェブサイト,web（網）＋ site（場所）,Visit our school website.,10,,,,,,
password,パスワード,pass（通る）＋ word（語）,Do not tell anyone your password.,10,,,,,,
battery,電池,,The battery is low.,10,,,,,,
charge,充電する、料金,意味が2つある,I charge my phone at night.,10,,,,,,
machine,機械,,This machine makes coffee.,10,,,,,,
tool,道具,,A hammer is a useful tool.,10,,,,,,
engine,エンジン,,The car engine is loud.,10,,,,,,
electricity,電気,,We should save electricity.,10,,,,,,
device,装置、機器,,This device is very small.,10,,,,,,
program,番組、プログラム,,I watched a TV program.,10,,,,,,
technology,技術、科学技術,,Technology changes fast.,10,,,,,,
