問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
academic,学問の,,She has an academic background.,10,,,,,,
curriculum,教育課程,複数形は curricula,The curriculum changed this year.,10,,,,,,
scholar,学者,scholarship（奨学金）から,He is a famous scholar.,10,,,,,,
thesis,論文,複数形は theses,She is writing her thesis.,10,,,,,,
reference,参考、参照,refer（参照する）から,List your references at the end.,10,,,,,,
citation,引用,cite（引用する）から,Add a citation for that fact.,10,,,,,,
bibliography,参考文献一覧,,The bibliography is on page 50.,10,,,,,,
methodology,方法論,method（方法）から,Explain your methodology.,10,,,,,,
statistics,統計,複数形で学問を指す,Statistics show a clear trend.,10,,,,,,
survey,調査、調査する,,We conducted a survey.,10,,,,,,
questionnaire,アンケート用紙,,Please fill out the questionnaire.,10,,,,,,
sample,見本、標本,,We took a sample of 100 people.,10,,,,,,
variable,変数、変わりやすい,,There are too many variables.,10,,,,,,
correlation,相関関係,,There is a correlation between them.,10,,,,,,
experiment on,～を対象に実験する,2語で1つの意味,They experimented on plants.,10,,,,,,
verify,検証する,,We must verify the results.,10,,,,,,
prove,証明する,proof（証拠）から,Can you prove it?,10,,,,,,
disprove,反証する,dis（否定）＋ prove,The data disproved the theory.,10,,,,,,
publication,出版、発表,publish（出版する）から,The publication date is May.,10,,,,,,
peer review,査読,2語で1つの意味,The paper passed peer review.,10,,,,,,
