問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
legal,法律の、合法の,illegal の反対,That is a legal matter.,10,,,,,,
illegal,違法な,il（否定）＋ legal,Parking here is illegal.,10,,,,,,
trial,裁判、試み,意味が2つある,The trial lasted three days.,10,,,,,,
lawyer,弁護士,law（法律）＋ yer,She hired a lawyer.,10,,,,,,
attorney,弁護士、代理人,lawyer とほぼ同じ,The attorney spoke first.,10,,,,,,
sue,訴える,,They sued the company.,10,,,,,,
verdict,評決,,The jury reached a verdict.,10,,,,,,
fine,罰金、元気な,意味が2つある,He paid a fine.,10,,,,,,
guilty,有罪の,innocent の反対,He was found guilty.,10,,,,,,
innocent,無罪の、無邪気な,guilty の反対,She is innocent.,10,,,,,,
privacy,プライバシー、私生活,private（私的な）から,Respect people privacy.,10,,,,,,
copyright,著作権,copy（複製）＋ right（権利）,This image is under copyright.,10,,,,,,
patent,特許,,They applied for a patent.,10,,,,,,
contract terms,契約条件,2語で1つの意味,Read the contract terms carefully.,10,,,,,,
obligation,義務,oblige（義務づける）から,You have no obligation to pay.,10,,,,,,
permission,許可,permit（許可する）から,You need permission to enter.,10,,,,,,
prohibit,禁止する,,Smoking is prohibited here.,10,,,,,,
enforce,施行する、強制する,force（力）から,Police enforce the law.,10,,,,,,
