問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
pity,気の毒に思うこと,What a pity! で「残念だ」,It is a pity you cannot come.,10,,,,,,
plastic,プラスチック,,Use less plastic.,10,,,,,,
playful,遊び好きな,play（遊ぶ）＋ ful,The puppy is playful.,10,,,,,,
pleasant,心地よい,please（喜ばせる）から,We had a pleasant evening.,10,,,,,,
pleased,喜んで,please（喜ばせる）から,I am pleased to meet you.,10,,,,,,
plus,～を加えて,minus の対,Two plus three is five.,10,,,,,,
police,警察,いつも複数として扱う,The police arrived quickly.,10,,,,,,
police station,警察署,2語で1つの意味,The police station is near here.,10,,,,,,
policeman,警察官,police ＋ man,A policeman helped us.,10,,,,,,
policewoman,女性の警察官,police ＋ woman,The policewoman took notes.,10,,,,,,
pollute,汚染する,pollution（汚染）から,Factories pollute the river.,10,,,,,,
pour,注ぐ,,Pour the milk into the cup.,10,,,,,,
precise,正確な,,Give me the precise time.,10,,,,,,
predict,予測する,prediction（予測）から,No one can predict the future.,10,,,,,,
prediction,予測,predict（予測する）から,His prediction was right.,10,,,,,,
pretend,ふりをする,,Do not pretend to be asleep.,10,,,,,,
pride,ほこり,proud（誇りに思う）から,She takes pride in her work.,10,,,,,,
print,印刷する,printer（プリンター）から,Print two copies.,10,,,,,,
pronounce,発音する,pronunciation（発音）から,How do you pronounce this?,10,,,,,,
proper,適切な,properly（適切に）から,Wear proper shoes.,10,,,,,,
