問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
actor,俳優,act（演じる）＋ or,He is a famous actor.,10,,,,,,
waitress,ウェイトレス,waiter の女性形,The waitress brought the menu.,10,,,,,,
sailor,船乗り,sail（航海する）＋ or,The sailor knows the sea.,10,,,,,,
officer,役人、将校,office（役所）から,The officer checked our tickets.,10,,,,,,
cop,警察官,くだけた言い方,A cop stopped the car.,10,,,,,,
worker,働く人,work（働く）＋ er,The workers finished the job.,10,,,,,,
interviewer,面接する人,interview ＋ er,The interviewer asked five questions.,10,,,,,,
foreigner,外国人,foreign（外国の）＋ er,Many foreigners visit Kyoto.,10,,,,,,
nationality,国籍,nation（国）から,What is your nationality?,10,,,,,,
hometown,生まれた町,home ＋ town,My hometown is small.,10,,,,,,
king,王,queen の対,The king lived in a castle.,10,,,,,,
prince,王子,princess の対,The prince rode a horse.,10,,,,,,
princess,王女,prince の対,The princess wore a crown.,10,,,,,,
fairy,妖精,,She read a fairy tale.,10,,,,,,
ghost,幽霊,gh を「ゴ」と読む,He told a ghost story.,10,,,,,,
spy,スパイ,,The story is about a spy.,10,,,,,,
smith,鍛冶屋,姓の Smith はここから,The village had one smith.,10,,,,,,
last name,名字,2語で1つの意味,What is your last name?,10,,,,,,
list,一覧、名簿,,Make a list of things to buy.,10,,,,,,
code,記号、暗号,,Enter the code here.,10,,,,,,
