問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
row,列、こぐ,意味が2つある,Sit in the front row.,10,,,,,,
set,置く、ひとそろい,意味が2つある,"Set the table, please.",10,,,,,,
spend,使う、過ごす,お金にも時間にも使う,I spend an hour reading.,10,,,,,,
step,歩む、段,名詞にも動詞にも使う,Watch your step.,10,,,,,,
surf,波乗りをする,surfing（サーフィン）から,They surf every summer.,10,,,,,,
wake,目を覚ます,wake up の形でよく使う,"Wake up, it is morning.",10,,,,,,
underline,下線を引く,under ＋ line（線）,Underline the key word.,10,,,,,,
copy,写す、複製,名詞にも動詞にも使う,Copy this sentence.,10,,,,,,
cover,おおう、表紙,名詞にも動詞にも使う,Cover the pot with a lid.,10,,,,,,
post,郵便、投稿する,意味が2つある,Please post this letter.,10,,,,,,
mail,郵便、送る,名詞にも動詞にも使う,I got a lot of mail today.,10,,,,,,
awake,目が覚めて,asleep の反対,Are you awake?,10,,,,,,
blank,空白の、空欄,,Fill in the blank.,10,,,,,,
bottom,底、いちばん下,top の反対,Look at the bottom of the page.,10,,,,,,
middle,真ん中の,,Sit in the middle seat.,10,,,,,,
due,予定の、期限の,due to ～ で「～のため」,The report is due Friday.,10,,,,,,
fair,公平な、晴れの,意味が2つある,That is not fair.,10,,,,,,
false,間違った、うその,true の反対,Mark it true or false.,10,,,,,,
still,まだ、静かな,意味が2つある,He is still sleeping.,10,,,,,,
super,すごい,くだけた言い方,That was a super game.,10,,,,,,
