問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
dishonest,不正直な,honest（正直な）の反対,That was a dishonest answer.,10,,,,,,
done,終わった,do の変化した形,The work is done.,10,,,,,,
download,ダウンロードする,down ＋ load,Download the file first.,10,,,,,,
driver's license,運転免許証,2語で1つの意味,Show your driver’s license.,10,,,,,,
fighter,戦う人,fight ＋ er,He is a brave fighter.,10,,,,,,
flea,のみ,,We went to a flea market.,10,,,,,,
footballer,サッカー選手,football ＋ er,He is a famous footballer.,10,,,,,,
frank,率直な,,"To be frank, I disagree.",10,,,,,,
frightening,こわい,frighten（こわがらせる）から,That was a frightening story.,10,,,,,,
grace,優雅さ,,She dances with grace.,10,,,,,,
granddad,おじいちゃん,grandfather のくだけた形,My granddad tells jokes.,10,,,,,,
granny,おばあちゃん,grandmother のくだけた形,Granny knits sweaters.,10,,,,,,
half-price,半額の,2語で1つの意味,Tickets are half-price today.,10,,,,,,
handicapped,障がいのある,,This seat is for handicapped people.,10,,,,,,
headphone,ヘッドホンの片方,両方は headphones,One headphone is broken.,10,,,,,,
headteacher,校長,head ＋ teacher,The headteacher spoke first.,10,,,,,,
hey,おい、ねえ,くだけた呼びかけ,"Hey, wait for me.",10,,,,,,
hip hop,ヒップホップ,2語で1つの意味,He likes hip hop music.,10,,,,,,
importantly,重要なことに,important（重要な）＋ ly,"More importantly, be safe.",10,,,,,,
laziness,怠けること,lazy（怠けた）から,Laziness leads to failure.,10,,,,,,
