問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
implicate,関係づける、巻きこむ,,The evidence implicated him.,10,,,,,,
induce,引き起こす、説得する,,The drug induces sleep.,10,,,,,,
inhibit,抑制する,,Cold inhibits growth.,10,,,,,,
intervene,介入する,inter（間に）＋ vene（来る）,The teacher intervened.,10,,,,,,
mediate,仲介する,,She mediated the dispute.,10,,,,,,
mitigate,やわらげる,,We must mitigate the damage.,10,,,,,,
nurture,育てる,,Schools nurture talent.,10,,,,,,
outweigh,～に勝る,out（超えて）＋ weigh（重さがある）,The benefits outweigh the costs.,10,,,,,,
penetrate,貫く、浸透する,,Light penetrates the water.,10,,,,,,
portray,描く、演じる,,The novel portrays rural life.,10,,,,,,
precede,先行する,pre（前）＋ cede（行く）,A speech preceded the meal.,10,,,,,,
presume,推定する,,I presume you are ready.,10,,,,,,
prevail,広まる、打ち勝つ,,Old customs still prevail.,10,,,,,,
prompt,促す、すばやい,意味が2つある,The news prompted action.,10,,,,,,
reconcile,和解させる、調和させる,,They reconciled after the fight.,10,,,,,,
refine,洗練する、精製する,,We refined the design.,10,,,,,,
reluctant,気が進まない,reluctance（気の進まなさ）から,He was reluctant to agree.,10,,,,,,
render,与える、する,,The storm rendered the road unusable.,10,,,,,,
speculate,推測する,,Analysts speculate about the cause.,10,,,,,,
suppress,抑える、鎮圧する,,She suppressed a laugh.,10,,,,,,
