問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
casual,ふだんの、何気ない,,Wear casual clothes.,10,,,,,,
cattle,牛（家畜）,いつも複数として扱う,The cattle graze in the field.,10,,,,,,
caution,用心,careful（注意深い）の仲間,Proceed with caution.,10,,,,,,
cave,どうくつ,,The cave is deep and dark.,10,,,,,,
celebrity,有名人,celebrate（祝う）から,A celebrity visited the shop.,10,,,,,,
central,中心の,center（中心）から,It is in the central area.,10,,,,,,
certainty,確実性,certain（確かな）から,There is no certainty.,10,,,,,,
challenging,やりがいのある、難しい,challenge（挑戦）から,The task is challenging.,10,,,,,,
channel,チャンネル、水路,意味が2つある,Change the channel.,10,,,,,,
chaos,混乱,,The room was in chaos.,10,,,,,,
characterize,特徴づける,character（特徴）から,Rain characterizes this season.,10,,,,,,
charm,魅力、お守り,,The town has real charm.,10,,,,,,
chase,追いかける,,The dog chased the ball.,10,,,,,,
checkout,会計、精算,check out から,Pay at the checkout.,10,,,,,,
cheerful,明るい、陽気な,cheer（元気づける）から,She has a cheerful voice.,10,,,,,,
chemist,化学者、薬剤師,chemistry（化学）から,The chemist tested the sample.,10,,,,,,
chemistry,化学,chemical（化学の）から,Chemistry is difficult but fun.,10,,,,,,
chief,主要な、長,意味が2つある,That is the chief reason.,10,,,,,,
choir,合唱団,ch を「ク」と読む,She sings in the school choir.,10,,,,,,
choke,息が詰まる,,He choked on a piece of bread.,10,,,,,,
