問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
Tuesday,火曜日,曜日は大文字で始める,We have music on Tuesday.,10,,,,,,
Wednesday,水曜日,d を読まない,Wednesday is my busy day.,10,,,,,,
Thursday,木曜日,,I have swimming on Thursday.,10,,,,,,
Friday,金曜日,,Friday is my favorite day.,10,,,,,,
Saturday,土曜日,,I play soccer on Saturday.,10,,,,,,
weekday,平日,week（週）＋ day（日）,I study on weekdays.,10,,,,,,
today is,今日は～です,2語で1つの言い方,Today is Wednesday.,10,,,,,,
every Monday,毎週月曜日に,2語で1つの意味,We clean every Monday.,10,,,,,,
last Friday,この前の金曜日,2語で1つの意味,I saw him last Friday.,10,,,,,,
next Tuesday,次の火曜日,2語で1つの意味,The test is next Tuesday.,10,,,,,,
February,2月,月の名前も大文字で始める,February is a short month.,10,,,,,,
March,3月,,We graduate in March.,10,,,,,,
June,6月,,It rains a lot in June.,10,,,,,,
July,7月,,Summer vacation starts in July.,10,,,,,,
August,8月,,August is very hot.,10,,,,,,
September,9月,,School starts again in September.,10,,,,,,
October,10月,,We have a sports day in October.,10,,,,,,
November,11月,,The leaves turn red in November.,10,,,,,,
December,12月,,December is the last month.,10,,,,,,
