問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
neighbourhood,近所、地域,英国のつづり。米国では neighborhood,It is a quiet neighbourhood.,10,,,,,,
nephew,おい,niece（めい）と対で覚える,My nephew is ten years old.,10,,,,,,
nervousness,緊張、神経質さ,nervous（緊張した）から,He hid his nervousness well.,10,,,,,,
ness,岬,地名の終わりにも使う,The ship passed the ness.,10,,,,,,
newborn,生まれたばかりの,new ＋ born,The newborn baby slept.,10,,,,,,
newcomer,新しく来た人,new ＋ comer,She is a newcomer to the club.,10,,,,,,
newly,新しく、最近,new から,They are newly married.,10,,,,,,
next door,となりに,2語で1つの意味,She lives next door.,10,,,,,,
next-door,となりの,つないで形容詞にした形,Our next-door neighbour is kind.,10,,,,,,
nickname,あだ名,,His nickname is Ken.,10,,,,,,
niece,めい,nephew（おい）と対で覚える,My niece plays the violin.,10,,,,,,
nightlife,夜の遊び、夜のにぎわい,night ＋ life,The city has lively nightlife.,10,,,,,,
noisily,そうぞうしく,noisy（うるさい）から,The children ate noisily.,10,,,,,,
none,どれも〜ない、だれも〜ない,of といっしょによく使う,None of the answers were right.,10,,,,,,
nonsense,ばかげたこと,non（〜でない）＋ sense（意味）,That is complete nonsense.,10,,,,,,
nor,〜もまた〜ない,neither と組にして使う,She neither ate nor drank.,10,,,,,,
normally,ふつうは,normal（ふつうの）から,I normally get up at six.,10,,,,,,
northeast,北東の,north ＋ east,The wind comes from the northeast.,10,,,,,,
northeastern,北東の,northeast から,They live in the northeastern area.,10,,,,,,
northern,北の,north から,Northern winters are long.,10,,,,,,
