問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
shine,輝く,sunshine（日光）から,The sun is shining.,10,,,,,,
shock,衝撃、驚かせる,名詞にも動詞にも使う,The news was a shock.,10,,,,,,
shoot,撃つ、シュートする,,He shot the ball into the goal.,10,,,,,,
shop assistant,店員,2語で1つの意味,The shop assistant was polite.,10,,,,,,
shore,岸,,We walked along the shore.,10,,,,,,
shot,一撃、写真,shoot の過去形でもある,That was a good shot.,10,,,,,,
shut,閉める,過去形も shut,"Shut the window, please.",10,,,,,,
silence,静けさ,silent（静かな）から,There was a long silence.,10,,,,,,
silently,静かに,silent（静かな）＋ ly,He left silently.,10,,,,,,
silly,ばかげた,,That is a silly question.,10,,,,,,
simply,単に、簡単に,simple（簡単な）＋ ly,Simply press this button.,10,,,,,,
singing,歌うこと,sing ＋ ing,Singing makes me happy.,10,,,,,,
sitting room,居間,イギリスでの言い方,They talked in the sitting room.,10,,,,,,
skate,スケートをする,skating（スケート）から,We skate on the frozen lake.,10,,,,,,
skateboarding,スケートボード,,Skateboarding is popular.,10,,,,,,
ski,スキーをする,skiing（スキー）から,They ski every winter.,10,,,,,,
slave,奴隷,,The law freed the slaves.,10,,,,,,
sleepless,ねむれない,sleep ＋ less（無い）,I had a sleepless night.,10,,,,,,
slim,ほっそりした,,She is tall and slim.,10,,,,,,
smooth,なめらかな,smoothly（なめらかに）から,The road is smooth.,10,,,,,,
