問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
blend,混ぜる、混合,,Blend the colors softly.,10,,,,,,
bless,祝福する,blessing（祝福）から,God bless you.,10,,,,,,
blessing,祝福、恵み,bless（祝福する）から,Rain was a blessing for farmers.,10,,,,,,
blind,目の見えない,,The blind man used a cane.,10,,,,,,
blog,ブログ,,She writes a travel blog.,10,,,,,,
blush,赤面する,,He blushed at the praise.,10,,,,,,
boast,自慢する,,Do not boast about your grades.,10,,,,,,
bold,大胆な、太字の,意味が2つある,That was a bold decision.,10,,,,,,
bomb,爆弾,b を読まない,The bomb was defused.,10,,,,,,
bond,きずな、結びつき,,They share a strong bond.,10,,,,,,
booking,予約,book（予約する）＋ ing,I made a booking online.,10,,,,,,
boot,ブーツの片方,両方は boots,One boot is missing.,10,,,,,,
bore,退屈させる,boring（退屈な）から,The lecture bored me.,10,,,,,,
boredom,退屈,bore（退屈させる）から,Boredom led him to read.,10,,,,,,
bounce,はずむ,,The ball bounced twice.,10,,,,,,
bound,縛られた、～行きの,意味が2つある,This train is bound for Tokyo.,10,,,,,,
bow,おじぎする、弓,意味が2つある,We bow when we greet.,10,,,,,,
boxing,ボクシング,box（ボクシングをする）＋ ing,Boxing requires stamina.,10,,,,,,
bracelet,ブレスレット,,She wears a silver bracelet.,10,,,,,,
brass,真ちゅう、金管楽器,,The brass band played well.,10,,,,,,
