問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
yellow,黄色い,,The sunflower is yellow.,10,,,,,,
green,緑の,,I like green tea.,10,,,,,,
purple,むらさきの,,She has a purple bag.,10,,,,,,
pink,ももいろの,,The cherry blossoms are pink.,10,,,,,,
brown,茶色の,,The dog is brown.,10,,,,,,
gray,灰色の,イギリスでは grey,The sky is gray today.,10,,,,,,
gold,金色、金,,She won a gold medal.,10,,,,,,
silver,銀色、銀,,He got a silver medal.,10,,,,,,
light blue,水色,2語で1つの意味,My cup is light blue.,10,,,,,,
dark green,深緑,2語で1つの意味,The leaves are dark green.,10,,,,,,
colorful,色あざやかな,color（色）＋ ful,The picture is colorful.,10,,,,,,
favorite color,好きな色,2語で1つの意味,What is your favorite color?,10,,,,,,
rainbow,にじ,rain（雨）＋ bow（弓）,I saw a rainbow after the rain.,10,,,,,,
bright red,あざやかな赤,2語で1つの意味,She wore a bright red coat.,10,,,,,,
paint color,絵の具の色,2語で1つの意味,Mix the paint colors.,10,,,,,,
crayon,クレヨン,,Draw with a crayon.,10,,,,,,
marker,マーカー、しるし,,Use a black marker.,10,,,,,,
color pencil,色えんぴつ,2語で1つの意味,I have twelve color pencils.,10,,,,,,
shade,色合い、日かげ,意味が2つある,This is a lighter shade.,10,,,,,,
stripe,しま模様,,The shirt has blue stripes.,10,,,,,,
