問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
experiment result,実験結果,2語で1つの意味,Record the experiment result.,10,,,,,,
observation,観察,observe（観察する）から,Write your observation here.,10,,,,,,
microscope slide,プレパラート,2語で1つの意味,Put the sample on a microscope slide.,10,,,,,,
beaker,ビーカー,,Pour the water into the beaker.,10,,,,,,
test tube,試験管,2語で1つの意味,Heat the test tube slowly.,10,,,,,,
burner,バーナー,burn（燃やす）＋ er,Turn off the burner.,10,,,,,,
dissolve,溶ける、溶かす,,Sugar dissolves in water.,10,,,,,,
acid,酸、酸性の,,Lemon juice is an acid.,10,,,,,,
alkali,アルカリ,,Soap is an alkali.,10,,,,,,
oxygen,酸素,,Plants release oxygen.,10,,,,,,
hydrogen gas,水素ガス,2語で1つの意味,Hydrogen gas is very light.,10,,,,,,
nitrogen,ちっ素,,Air is mostly nitrogen.,10,,,,,,
circuit board,回路板,2語で1つの意味,The circuit board was damaged.,10,,,,,,
voltage,電圧,,Measure the voltage here.,10,,,,,,
current flow,電流の流れ,2語で1つの意味,The current flow stopped.,10,,,,,,
resistance,抵抗,resist（抵抗する）から,The wire has low resistance.,10,,,,,,
energy source,エネルギー源,2語で1つの意味,The sun is an energy source.,10,,,,,,
digestion,消化,digest（消化する）から,Digestion begins in the mouth.,10,,,,,,
respiration,呼吸,,Respiration takes in oxygen.,10,,,,,,
