問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
physical,身体の,mental の反対,Physical exercise is important.,10,,,,,,
mental,精神の,physical の反対,Mental health matters too.,10,,,,,,
therapy,治療、療法,,She receives therapy weekly.,10,,,,,,
prescription,処方せん,prescribe（処方する）から,The doctor wrote a prescription.,10,,,,,,
infection,感染,infect（感染させる）から,Wash your hands to prevent infection.,10,,,,,,
vaccine,ワクチン,,The vaccine is effective.,10,,,,,,
immune,免疫の,,Sleep strengthens the immune system.,10,,,,,,
surgery,手術,,He had surgery last month.,10,,,,,,
diagnosis,診断,diagnose（診断する）から,The diagnosis took two days.,10,,,,,,
cure,治す、治療法,名詞にも動詞にも使う,There is no cure yet.,10,,,,,,
painkiller,痛み止め,pain（痛み）＋ killer（消すもの）,She took a painkiller.,10,,,,,,
checkup,健康診断,check（調べる）＋ up,I have a checkup every year.,10,,,,,,
addiction,依存、中毒,,Smoking addiction is hard to break.,10,,,,,,
obesity,肥満,,Obesity is a health problem.,10,,,,,,
hygiene,衛生,,Good hygiene prevents disease.,10,,,,,,
disability,障害,,The building supports people with disabilities.,10,,,,,,
caregiver,介護者,care（世話）＋ giver（与える人）,Caregivers need support too.,10,,,,,,
nursing home,介護施設,2語で1つの意味,My grandmother lives in a nursing home.,10,,,,,,
life expectancy,平均寿命,2語で1つの意味,Life expectancy has risen.,10,,,,,,
