問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
scenic,景色のよい,scene（景色）から,We took the scenic route.,10,,,,,,
schoolmate,学校の友だち,school ＋ mate,He met an old schoolmate.,10,,,,,,
schoolteacher,学校の先生,school ＋ teacher,Her mother is a schoolteacher.,10,,,,,,
science fiction,空想科学小説,2語で1つの意味,He reads science fiction.,10,,,,,,
scold,しかる,,She scolded the boy gently.,10,,,,,,
scratch,ひっかく、かすり傷,意味が2つある,The cat scratched the door.,10,,,,,,
seawater,海水,sea ＋ water,Seawater is salty.,10,,,,,,
seaweed,海そう,sea ＋ weed,They eat seaweed every day.,10,,,,,,
second-hand,中古の,,He bought a second-hand bike.,10,,,,,,
secondary school,中等学校,2語で1つの意味。英国でよく使う,She goes to a secondary school.,10,,,,,,
secretly,ひそかに,secret（秘密）から,They met secretly.,10,,,,,,
seize,つかむ、おさえる,ei のつづりに注意,He seized the rope.,10,,,,,,
selection,選ぶこと、品ぞろえ,select（選ぶ）から,The shop has a wide selection.,10,,,,,,
self-service,セルフサービスの,,It is a self-service restaurant.,10,,,,,,
sensation,感覚、大評判,意味が2つある,She felt a strange sensation.,10,,,,,,
separation,分離、別れ,separate（分ける）から,The separation was painful.,10,,,,,,
series,連続、ひと続き,単数も複数も同じ形,He watched the whole series.,10,,,,,,
session,会合、活動の時間,,The morning session ended late.,10,,,,,,
settle,落ち着く、解決する,意味が2つある,They settled in a small town.,10,,,,,,
settler,入植者,settle から,The settlers built a village.,10,,,,,,
