問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
facility,施設,ふつう複数形で使う,The city has good facilities.,10,,,,,,
accommodation,宿泊施設,,We booked accommodation online.,10,,,,,,
venue,会場,,"The venue holds 2,000 people.",10,,,,,,
district,地区,,This is a business district.,10,,,,,,
suburb,郊外,,They moved to the suburbs.,10,,,,,,
downtown,中心街,,We had dinner downtown.,10,,,,,,
pavement,歩道、舗装,,The pavement was wet.,10,,,,,,
renovation,改装,renovate（改装する）から,The hotel is under renovation.,10,,,,,,
construction,建設,construct（建設する）から,Construction started in May.,10,,,,,,
demolish,取りこわす,,They demolished the old building.,10,,,,,,
landmark,目印、名所,,The tower is a city landmark.,10,,,,,,
congestion,混雑,,Traffic congestion is a problem.,10,,,,,,
noise pollution,騒音公害,2語で1つの意味,Noise pollution affects sleep.,10,,,,,,
public transport,公共交通,2語で1つの意味,Public transport is cheap here.,10,,,,,,
pedestrian zone,歩行者天国,2語で1つの意味,This is a pedestrian zone.,10,,,,,,
utility bill,公共料金の請求,2語で1つの意味,The utility bill went up.,10,,,,,,
waste disposal,ごみ処理,2語で1つの意味,Waste disposal costs money.,10,,,,,,
housing,住宅,house（家）から,Housing prices are rising.,10,,,,,,
vacancy,空き、欠員,,There is a vacancy in this building.,10,,,,,,
occupancy,入居、占有,occupy（占める）から,Hotel occupancy is high.,10,,,,,,
