問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
superstar,スーパースター,super ＋ star,He became a superstar.,10,,,,,,
supper,夕食,dinner より軽い食事,We had a light supper.,10,,,,,,
surfing,サーフィン,surf（波乗りする）＋ ing,Surfing is popular here.,10,,,,,,
surname,名字,last name とほぼ同じ,Write your surname first.,10,,,,,,
surprising,驚くべき,surprise（驚かせる）から,The result was surprising.,10,,,,,,
swallow,飲みこむ、つばめ,意味が2つある,Chew well before you swallow.,10,,,,,,
sweater,セーター,,Wear a sweater. It is cold.,10,,,,,,
sweetheart,恋人,sweet ＋ heart,They were childhood sweethearts.,10,,,,,,
swimsuit,水着,swim ＋ suit,Bring your swimsuit.,10,,,,,,
symbol,象徴、記号,,The dove is a symbol of peace.,10,,,,,,
symphony,交響曲,,They played a symphony.,10,,,,,,
table tennis,卓球,2語で1つの意味,We played table tennis.,10,,,,,,
tablespoon,大さじ,table ＋ spoon,Add one tablespoon of oil.,10,,,,,,
talent,才能,talented（才能のある）から,She has a talent for music.,10,,,,,,
tap,軽くたたく、蛇口,意味が2つある,Turn off the tap.,10,,,,,,
target,的、目標,,We reached our target.,10,,,,,,
task,仕事、課題,,Finish this task first.,10,,,,,,
tear,涙、引きさく,発音が2通りある,Tears ran down her face.,10,,,,,,
teenage,10代の,teenager（10代の子）から,She has two teenage sons.,10,,,,,,
teenager,10代の若者,teen ＋ ager,Teenagers use social media.,10,,,,,,
