問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
accessible,近づきやすい、利用しやすい,access（接近）から,The park is accessible by bus.,10,,,,,,
apparent,明らかな、外見上の,,The reason is apparent.,10,,,,,,
beneficial,有益な,benefit（利益）から,Reading is beneficial.,10,,,,,,
consistent,一貫した,,His answers are consistent.,10,,,,,,
contemporary,現代の、同時代の,,I like contemporary music.,10,,,,,,
critical,批判的な、重大な,意味が2つある,This is a critical issue.,10,,,,,,
diverse,多様な,diversity（多様性）から,We have a diverse team.,10,,,,,,
exclusive,独占的な、高級な,,This is an exclusive offer.,10,,,,,,
feasible,実行可能な,,Is the plan feasible?,10,,,,,,
genuine,本物の,,This is a genuine leather bag.,10,,,,,,
immense,巨大な,,The task was immense.,10,,,,,,
indispensable,欠かせない,,Water is indispensable to life.,10,,,,,,
objective,客観的な、目標,意味が2つある,Try to be objective.,10,,,,,,
subjective,主観的な,objective の反対,That is a subjective view.,10,,,,,,
practical,実際的な,,Give me practical advice.,10,,,,,,
reasonable,妥当な、手ごろな,,The price is reasonable.,10,,,,,,
substantial,かなりの、実質的な,,They made substantial progress.,10,,,,,,
vital,極めて重要な,,Sleep is vital for health.,10,,,,,,
