問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
approach,方法、近づく,名詞にも動詞にも使う,We need a new approach.,10,,,,,,
aspect,側面,,Consider every aspect of the problem.,10,,,,,,
assumption,仮定、思い込み,assume（仮定する）から,That is only an assumption.,10,,,,,,
capacity,容量、能力,,The hall has a capacity of 500.,10,,,,,,
concept,概念,,The concept is difficult to explain.,10,,,,,,
conclusion,結論,conclude（結論づける）から,We reached a conclusion.,10,,,,,,
criterion,基準,複数形は criteria,What is the criterion for selection?,10,,,,,,
element,要素,,Trust is a key element.,10,,,,,,
factor,要因,,Cost is an important factor.,10,,,,,,
framework,枠組み,frame（枠）＋ work,We built a new framework.,10,,,,,,
hypothesis,仮説,複数形は hypotheses,The hypothesis was proved.,10,,,,,,
institution,機関、制度,,This is a public institution.,10,,,,,,
mechanism,仕組み,,Explain the mechanism of the engine.,10,,,,,,
phenomenon,現象,複数形は phenomena,This is a natural phenomenon.,10,,,,,,
policy,方針、政策,,The company changed its policy.,10,,,,,,
proportion,割合、比率,,A large proportion agreed.,10,,,,,,
sequence,順序、連続,,Put the cards in the right sequence.,10,,,,,,
standard,基準、標準の,,This meets the standard.,10,,,,,,
structure,構造,,The structure of the building is strong.,10,,,,,,
tendency,傾向,tend（傾向がある）から,He has a tendency to be late.,10,,,,,,
