問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
author,著者,,Who is the author of this book?,10,,,,,,
narrator,語り手,narrate（語る）から,The narrator is a child.,10,,,,,,
setting,場面、設定,,The setting is a small village.,10,,,,,,
climax,山場、最高潮,,The climax comes at the end.,10,,,,,,
conclusion part,結びの部分,2語で1つの意味,Write the conclusion part last.,10,,,,,,
main idea,主題、要旨,2語で1つの意味,Find the main idea.,10,,,,,,
supporting detail,裏づけとなる細部,2語で1つの意味,Give one supporting detail.,10,,,,,,
quotation,引用,quote（引用する）から,Use quotation marks here.,10,,,,,,
paraphrase,言いかえる,,Paraphrase this sentence.,10,,,,,,
outline,構成、あらまし,,Make an outline before writing.,10,,,,,,
draft,下書き、下書きする,,This is only a first draft.,10,,,,,,
revise,書き直す、見直す,,Revise your essay tonight.,10,,,,,,
proofread,校正する,proof（証明）＋ read（読む）,Proofread before you submit.,10,,,,,,
handwriting,手書き、筆跡,hand（手）＋ writing（書くこと）,Your handwriting is neat.,10,,,,,,
punctuation,句読点,,Check your punctuation.,10,,,,,,
comma,コンマ,,Put a comma after the name.,10,,,,,,
period mark,句点、ピリオド,2語で1つの意味,End the sentence with a period mark.,10,,,,,,
capital letter,大文字,2語で1つの意味,Start with a capital letter.,10,,,,,,
indent,字下げする,,Indent the first line.,10,,,,,,
bibliography list,参考文献の一覧,2語で1つの意味,Attach a bibliography list.,10,,,,,,
