問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
software,ソフトウェア,数えない名詞,We need new software.,10,,,,,,
hardware,ハードウェア,数えない名詞,The hardware is out of date.,10,,,,,,
network,ネットワーク、網,,The network is down.,10,,,,,,
server,サーバー,,The server stores the data.,10,,,,,,
database,データベース,data（データ）＋ base（基地）,Search the database.,10,,,,,,
backup,バックアップ、控え,,Make a backup of your files.,10,,,,,,
update,更新する、更新,,Please update the software.,10,,,,,,
upgrade,性能を上げる,,I upgraded my computer.,10,,,,,,
install,導入する、取りつける,,Install the app first.,10,,,,,,
virus,ウイルス,,The virus damaged the files.,10,,,,,,
security risk,安全上の危険,2語で1つの意味,That is a security risk.,10,,,,,,
encryption,暗号化,encrypt（暗号化する）から,Encryption protects your data.,10,,,,,,
automatic,自動の,,The door is automatic.,10,,,,,,
remote,遠隔の,,She works remote from home.,10,,,,,,
wireless,無線の,wire（線）＋ less（無い）,This is a wireless keyboard.,10,,,,,,
portable,持ち運びできる,port（運ぶ）＋ able,This is a portable speaker.,10,,,,,,
innovation,革新,innovate（革新する）から,Innovation drives growth.,10,,,,,,
efficiency,効率,efficient（効率的な）から,We improved the efficiency.,10,,,,,,
sustainable,持続可能な,sustain（支える）＋ able,We need sustainable energy.,10,,,,,,
